t,Node,Event_Type,inc_id,Pattern
2021-01-26 00:08:24,node1610,a2p queue: routerfilequeue-filequeue,,node1610__a2p queue: routerfilequeue-filequeue
2021-01-26 00:08:24,node1229,a2p queue: routerfilequeue-filequeue,,node1229__a2p queue: routerfilequeue-filequeue
2021-01-26 00:08:34,node1315,company communication gateway (product363) process,,node1315__company communication gateway (product363) process
2021-01-26 00:09:24,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:24,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:24,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:24,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:24,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:24,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:24,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:24,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:24,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:25,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:25,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:25,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:25,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:25,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:26,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:34,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:35,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:35,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:35,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:37,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:37,node483.company.com,etype69,,node483.company.com__etype69
2021-01-26 00:09:48,node4354,antares,,node4354__antares
2021-01-26 00:10:01,node965,product117_file_monitor,,node965__product117_file_monitor
2021-01-26 00:10:02,node966,product117_file_monitor,,node966__product117_file_monitor
2021-01-26 00:10:02,node3390,product117_file_monitor,,node3390__product117_file_monitor
2021-01-26 00:10:02,node710,product117_file_monitor,,node710__product117_file_monitor
2021-01-26 00:10:04,node1433,etype3 indicator on report_file_out,,node1433__etype3 indicator on report_file_out
2021-01-26 00:10:12,node3556.company.com,scr-err800:node3556,INC000000895300,node3556.company.com__scr-err800:node3556
2021-01-26 00:10:22,node1325.company.com,[report_product51] failed reports on node1325.company.com,,node1325.company.com__[report_product51] failed reports on node1325.company.com
2021-01-26 00:10:24,node4510,[report_product51] reports stuck in queued status on node4510,INC000000895173,node4510__[report_product51] reports stuck in queued status on node4510
2021-01-26 00:10:26,node4510,[report_product51] reports stuck in queued status on node4510,INC000000895173,node4510__[report_product51] reports stuck in queued status on node4510
2021-01-26 00:10:26,node4510,[report_product51] reports stuck in queued status on node4510,INC000000895173,node4510__[report_product51] reports stuck in queued status on node4510
2021-01-26 00:10:27,node4510,[report_product51] reports stuck in queued status on node4510,,node4510__[report_product51] reports stuck in queued status on node4510
2021-01-26 00:10:28,node4510,[report_product51] reports stuck in queued status on node4510,,node4510__[report_product51] reports stuck in queued status on node4510
2021-01-26 00:10:28,node4510,[report_product51] reports stuck in queued status on node4510,,node4510__[report_product51] reports stuck in queued status on node4510
2021-01-26 00:10:40,node3851.company.com,bn920000-00,,node3851.company.com__bn920000-00
2021-01-26 00:10:41,node3269,lkf bn400188-00,,node3269__lkf bn400188-00
2021-01-26 00:11:14,node5178.company.com,swproduct135entry ,,node5178.company.com__swproduct135entry 
2021-01-26 00:11:25,node4354,antares,,node4354__antares
2021-01-26 00:12:17,node1333,product99_product183 customoid,,node1333__product99_product183 customoid
2021-01-26 00:12:30,node3874,sun5-product170-mqueue,,node3874__sun5-product170-mqueue
2021-01-26 00:12:38,node5039,sun5-product170-mqueue,,node5039__sun5-product170-mqueue
2021-01-26 00:12:58,node5076, product8ibility web online application alarm ,INC000000895298,node5076__ product8ibility web online application alarm 
2021-01-26 00:13:25,node506,lkf b7307097-00,,node506__lkf b7307097-00
2021-01-26 00:13:56,node3759.company.com,gi2/0/20,,node3759.company.com__gi2/0/20
2021-01-26 00:13:56,node3759.company.com,gi1/0/20,,node3759.company.com__gi1/0/20
2021-01-26 00:14:35,node3872,sun5-product170-mqueue,,node3872__sun5-product170-mqueue
2021-01-26 00:14:58,node764,etype28 gateway down: critical ,,node764__etype28 gateway down: critical 
2021-01-26 00:15:02,node3555.company.com,product92-output files stuck product51,INC000000895178,node3555.company.com__product92-output files stuck product51
2021-01-26 00:15:06,node3569.company.com,etype27,,node3569.company.com__etype27
2021-01-26 00:15:06,node3569.company.com,etype69,,node3569.company.com__etype69
2021-01-26 00:15:09,node764,etype28 gateway down: critical ,,node764__etype28 gateway down: critical 
2021-01-26 00:15:15,node5301.company.com,netscreentrapvpn,,node5301.company.com__netscreentrapvpn
2021-01-26 00:15:16,node5285.company.com,netscreentrapvpn,,node5285.company.com__netscreentrapvpn
2021-01-26 00:15:17,node5302.company.com,netscreentrapvpn,,node5302.company.com__netscreentrapvpn
2021-01-26 00:15:19,node764,etype28 gateway down: critical ,,node764__etype28 gateway down: critical 
2021-01-26 00:15:25,node5301.company.com,netscreentrapvpn,,node5301.company.com__netscreentrapvpn
2021-01-26 00:15:29,node765,etype28 gateway down: critical ,,node765__etype28 gateway down: critical 
2021-01-26 00:15:30,node4510,[report_product51] failed reports on node4510,,node4510__[report_product51] failed reports on node4510
2021-01-26 00:15:40,node5289.company.com,netscreentrapvpn,,node5289.company.com__netscreentrapvpn
2021-01-26 00:15:40,node764,etype28 gateway down: critical ,,node764__etype28 gateway down: critical 
2021-01-26 00:15:40,node4489,[job product51] : stuck_in_queued on erproduct76,INC000000895175,node4489__[job product51] : stuck_in_queued on erproduct76
2021-01-26 00:16:50,node1714,product284 customoid,,node1714__product284 customoid
2021-01-26 00:17:10,node3390,electronic data transport (product117) customoid,,node3390__electronic data transport (product117) customoid
2021-01-26 00:17:12,node587,product202 product6301 etl product51,,node587__product202 product6301 etl product51
2021-01-26 00:17:14,node3556.company.com,product92-files stuck in ftp product12 path,,node3556.company.com__product92-files stuck in ftp product12 path
2021-01-26 00:17:16,node489.company.com,etype9,,node489.company.com__etype9
2021-01-26 00:18:05,node3278,product380 kpi - product112,,node3278__product380 kpi - product112
2021-01-26 00:18:06,node3876,sun5-product170-mqueue,,node3876__sun5-product170-mqueue
2021-01-26 00:19:42,node1732,dal-product302-hub-sms-003,,node1732__dal-product302-hub-sms-003
2021-01-26 00:19:59,node1300,product99_product183 customoid,,node1300__product99_product183 customoid
2021-01-26 00:20:00,node3498,iproduct295 queue 0x00000064,,node3498__iproduct295 queue 0x00000064
2021-01-26 00:21:03,node1726,dal-product302-acg-sms-001,,node1726__dal-product302-acg-sms-001
2021-01-26 00:21:12,node3877,sun5-product170-mqueue,,node3877__sun5-product170-mqueue
2021-01-26 00:21:18,node1733,dal-product302-hub-sms-004,,node1733__dal-product302-hub-sms-004
2021-01-26 00:21:31,node5031,sun5-product170-mqueue,,node5031__sun5-product170-mqueue
2021-01-26 00:21:37,node1727,dal-product302-acg-sms-002,,node1727__dal-product302-acg-sms-002
2021-01-26 00:22:20,node1964,product4 process,,node1964__product4 process
2021-01-26 00:23:13,node5352,lkf bn401189-00,,node5352__lkf bn401189-00
2021-01-26 00:23:38,node5039,sun5-product170-mqueue,,node5039__sun5-product170-mqueue
2021-01-26 00:24:03,node3345,product380 kpi - product132,,node3345__product380 kpi - product132
2021-01-26 00:24:21,node1696.company.com,product192,,node1696.company.com__product192
2021-01-26 00:24:21,node1696.company.com,product192,,node1696.company.com__product192
2021-01-26 00:24:26,node3933.company.com,product268 port status,,node3933.company.com__product268 port status
2021-01-26 00:24:29,node1333,product99_product183 disk,,node1333__product99_product183 disk
2021-01-26 00:25:02,node3626.company.com, javaexception,,node3626.company.com__ javaexception
2021-01-26 00:25:04,node3389,electronic data transport (product117) customoid,,node3389__electronic data transport (product117) customoid
2021-01-26 00:25:13,node3269,lkf bn400189-00,,node3269__lkf bn400189-00
2021-01-26 00:25:29,node4510,[report_product51] failed reports on node4510,,node4510__[report_product51] failed reports on node4510
2021-01-26 00:25:40,node5289.company.com,netscreentrapvpn,,node5289.company.com__netscreentrapvpn
2021-01-26 00:25:55,node1296,[job product51] : start_delayed on product416,,node1296__[job product51] : start_delayed on product416
2021-01-26 00:26:12,node1711,status,,node1711__status
2021-01-26 00:26:35,node3872,sun5-product170-mqueue,,node3872__sun5-product170-mqueue
2021-01-26 00:27:20,node1585,product230,,node1585__product230
2021-01-26 00:27:55,node489.company.com,etype9,,node489.company.com__etype9
2021-01-26 00:27:58,node5301.company.com,netscreentrapvpn,,node5301.company.com__netscreentrapvpn
2021-01-26 00:28:07,node981,product230,,node981__product230
2021-01-26 00:28:09,node5300.company.com,netscreentrapvpn,,node5300.company.com__netscreentrapvpn
2021-01-26 00:28:10,node982,product230,,node982__product230
2021-01-26 00:28:12,node982.company.com,product53 spamfw smtp,,node982.company.com__product53 spamfw smtp
2021-01-26 00:28:12,node1165,product87 customoid,,node1165__product87 customoid
2021-01-26 00:28:12,node3583,lkf b7306097-00,,node3583__lkf b7306097-00
2021-01-26 00:28:13,node506,lkf b7307097-00,,node506__lkf b7307097-00
2021-01-26 00:28:16,node4157.company.com,acme packet syproduct371mt hardware error,INC000000895184,node4157.company.com__acme packet syproduct371mt hardware error
2021-01-26 00:28:18,node5076,g803560 apps | node2054 | logmonitor,INC000000895062,node5076__g803560 apps | node2054 | logmonitor
2021-01-26 00:28:23,node4157.company.com,acme packet syproduct371mt,INC000000895184,node4157.company.com__acme packet syproduct371mt
2021-01-26 00:28:30,node3874,sun5-product170-mqueue,,node3874__sun5-product170-mqueue
2021-01-26 00:28:31,node4145.company.com,palladion counter,INC000000895184,node4145.company.com__palladion counter
2021-01-26 00:28:48,node4157.company.com,acme packet syproduct371mt,,node4157.company.com__acme packet syproduct371mt
2021-01-26 00:28:56,node4158.company.com,acme packet syproduct371mt,INC000000895184,node4158.company.com__acme packet syproduct371mt
2021-01-26 00:29:24,node1583,product230,,node1583__product230
2021-01-26 00:29:26,node1584,product230,,node1584__product230
2021-01-26 00:30:01,node3386,product92-hur files stuck product51,,node3386__product92-hur files stuck product51
2021-01-26 00:30:01,node3386,product92-hur files stuck product51,,node3386__product92-hur files stuck product51
2021-01-26 00:30:13,node3929.company.co.in,status,,node3929.company.co.in__status
2021-01-26 00:30:22,node1325.company.com,[report_product51] failed reports on node1325.company.com,,node1325.company.com__[report_product51] failed reports on node1325.company.com
2021-01-26 00:30:38,node979,product230,,node979__product230
2021-01-26 00:30:42,node4713,product117_file_monitor,,node4713__product117_file_monitor
2021-01-26 00:30:51,node980,product230,,node980__product230
2021-01-26 00:31:03,node758,amex webservices ssl,,node758__amex webservices ssl
2021-01-26 00:31:45,node5352,lkf bn401188-00,,node5352__lkf bn401188-00
2021-01-26 00:31:52,node1283.company.com,procproduct132status,,node1283.company.com__procproduct132status
2021-01-26 00:32:02,node4260,product380 kpi - product220,,node4260__product380 kpi - product220
2021-01-26 00:32:03,node1243,product440_product371_app_monitor,INC000000895067,node1243__product440_product371_app_monitor
2021-01-26 00:32:12,node3873,sun5-product170-mqueue,,node3873__sun5-product170-mqueue
2021-01-26 00:32:27,node1979.company.com,palladion counter,INC000000895184,node1979.company.com__palladion counter
2021-01-26 00:32:33,node1712.company.com,etype69,,node1712.company.com__etype69
2021-01-26 00:32:57,node5076,g802720 apps | node1552 | error seen in node5757,INC000000895063,node5076__g802720 apps | node1552 | error seen in node5757
2021-01-26 00:33:03,node1243,product440_product371_gui_jbosslogs,,node1243__product440_product371_gui_jbosslogs
2021-01-26 00:33:03,node1243,product440_product371_app_jbosslogs,,node1243__product440_product371_app_jbosslogs
2021-01-26 00:33:25,node5301.company.com,netscreentrapvpn,,node5301.company.com__netscreentrapvpn
2021-01-26 00:34:04,node1149,product380 kpi - product389,,node1149__product380 kpi - product389
2021-01-26 00:34:30,node5017,sun5-product170-mqueue,,node5017__sun5-product170-mqueue
2021-01-26 00:34:38,node5039,sun5-product170-mqueue,,node5039__sun5-product170-mqueue
2021-01-26 00:35:02,node1241,product440_product371_gui_jbosslogs,,node1241__product440_product371_gui_jbosslogs
2021-01-26 00:35:05,node5301.company.com,netscreentrapvpn,,node5301.company.com__netscreentrapvpn
2021-01-26 00:35:11,node5076,g802720 apps | node3503 | mmsc.pproduct160.hu,INC000000895213,node5076__g802720 apps | node3503 | mmsc.pproduct160.hu
2021-01-26 00:35:30,node4510,[report_product51] failed reports on node4510,INC000000895215,node4510__[report_product51] failed reports on node4510
2021-01-26 00:35:30,node1556.company.com,product192 node5440,,node1556.company.com__product192 node5440
2021-01-26 00:36:01,node1243,product440_product371_conn_mq,,node1243__product440_product371_conn_mq
2021-01-26 00:36:02,node1240,product440_product371_conn_mq,,node1240__product440_product371_conn_mq
2021-01-26 00:36:02,node3627.company.com,dsc-app product130.mnc002.mcc413.3gppproduct269.org[[appid ,,node3627.company.com__dsc-app product130.mnc002.mcc413.3gppproduct269.org[[appid 
2021-01-26 00:36:02,node3628.company.com,dsc-app product130.mnc002.mcc413.3gppproduct269.org[[appid ,,node3628.company.com__dsc-app product130.mnc002.mcc413.3gppproduct269.org[[appid 
2021-01-26 00:36:02,node1240,product440_product371_gui_jbosslogs,,node1240__product440_product371_gui_jbosslogs
2021-01-26 00:36:02,node3629.company.com,dsc-app product130.mnc002.mcc413.3gppproduct269.org[[appid ,,node3629.company.com__dsc-app product130.mnc002.mcc413.3gppproduct269.org[[appid 
2021-01-26 00:36:02,node1240,product440_product371_conn_mq,,node1240__product440_product371_conn_mq
2021-01-26 00:36:32,node3629.company.com,dsc-app product130.mnc002.mcc413.3gppproduct269.org[[appid ,,node3629.company.com__dsc-app product130.mnc002.mcc413.3gppproduct269.org[[appid 
2021-01-26 00:36:40,node1351,smtp_qrunner,,node1351__smtp_qrunner
2021-01-26 00:37:07,node3557,product92-res_db_check-node3557,INC000000895307,node3557__product92-res_db_check-node3557
2021-01-26 00:37:14,node943,ch3p-product170-mqueue,,node943__ch3p-product170-mqueue
2021-01-26 00:37:17,node3874,sun5 lc mqueue,,node3874__sun5 lc mqueue
2021-01-26 00:37:27,node4161.company.com,acme packet syproduct371mt status product70nge,INC000000895184,node4161.company.com__acme packet syproduct371mt status product70nge
2021-01-26 00:37:28,node1994.company.com,acme packet syproduct371mt status product70nge,INC000000895184,node1994.company.com__acme packet syproduct371mt status product70nge
2021-01-26 00:37:28,node1996.company.com,acme packet syproduct371mt status product70nge,INC000000895184,node1996.company.com__acme packet syproduct371mt status product70nge
2021-01-26 00:37:29,node1992.company.com,acme packet syproduct371mt status product70nge,INC000000895184,node1992.company.com__acme packet syproduct371mt status product70nge
2021-01-26 00:37:29,node1995.company.com,acme packet syproduct371mt status product70nge,INC000000895184,node1995.company.com__acme packet syproduct371mt status product70nge
2021-01-26 00:37:29,node1992.company.com,acme packet syproduct371mt status product70nge,INC000000895184,node1992.company.com__acme packet syproduct371mt status product70nge
2021-01-26 00:37:30,node4151.company.com,acme packet syproduct371mt status product70nge,INC000000895184,node4151.company.com__acme packet syproduct371mt status product70nge
2021-01-26 00:37:30,node1992.company.com,acme packet syproduct371mt status product70nge,INC000000895184,node1992.company.com__acme packet syproduct371mt status product70nge
2021-01-26 00:37:30,node1992.company.com,acme packet syproduct371mt status product70nge,INC000000895184,node1992.company.com__acme packet syproduct371mt status product70nge
2021-01-26 00:37:31,node1992.company.com,acme packet syproduct371mt status product70nge,INC000000895184,node1992.company.com__acme packet syproduct371mt status product70nge
2021-01-26 00:37:31,node1992.company.com,acme packet syproduct371mt status product70nge,INC000000895184,node1992.company.com__acme packet syproduct371mt status product70nge
2021-01-26 00:37:31,node1992.company.com,acme packet syproduct371mt status product70nge,INC000000895184,node1992.company.com__acme packet syproduct371mt status product70nge
2021-01-26 00:37:32,node1992.company.com,acme packet syproduct371mt status product70nge,INC000000895184,node1992.company.com__acme packet syproduct371mt status product70nge
2021-01-26 00:37:32,node1992.company.com,acme packet syproduct371mt status product70nge,INC000000895184,node1992.company.com__acme packet syproduct371mt status product70nge
2021-01-26 00:37:32,node1992.company.com,acme packet syproduct371mt status product70nge,INC000000895184,node1992.company.com__acme packet syproduct371mt status product70nge
